experiment,approach,model_name,test_accuracy,test_loss,cv_mean,cv_std,n_train,n_test
3class_64ch,EEGNet,EEGNet_single_run,0.6008928571428571,0.8482943309677972,,,4924,1120
binary_lr_21ch,EEGNet,EEGNet_single_run,0.7496688741721854,,,,3284,755
binary_lr_21ch,EEGNet,EEGNet_best_grid,0.7788079470198676,,,,3284,755
binary_lr_21ch,CSP+ML,CSP+LDA,0.6291390728476821,,0.5945117085977825,0.024646352827940452,3949,755
binary_lr_21ch,CSP+ML,CSP+SVM,0.6423841059602649,,0.6049231400827034,0.025193263258765915,3949,755
binary_lr_21ch,CSP+ML,CSP+RandomForest,0.6211920529801325,,0.5954129047850802,0.019745207240837063,3949,755
binary_lr_21ch,CSP+ML,CSP+KNN,0.5814569536423841,,0.566820618256341,0.013698248145995738,3949,755
binary_lr_21ch,CSP+ML,CSP+GradientBoosting,0.6026490066225165,,0.5982783908251476,0.02222146049953312,3949,755
binary_lr_21ch,CSP+ML,CSP+LogisticRegression,0.6317880794701987,,0.6014007939266925,0.023940785066843023,3949,755
binary_lr_21ch,CSP+ML,CSP+MLP,0.614569536423841,,0.6050453081183804,0.020563870424535082,3949,755
joint_preproc_search,EEGNet,"EEGNet(f1=16,d=2,do=0.25,lr=0.001)",0.7770448548812665,,,,3946,758
